delta,omega,lambda,pathogen,proba_trans_before_mut,sensitivity,specificity,ppv,f1_score,fdr,R
0,0.5,0.20092782615905697,SARS-CoV-2 (Omicron),0.6950556994421696,0.34383610257318886,0.99275045113974,0.2252930450558032,0.2722189958871371,0.7747069549441968,1.3
0,0.51,0.19314252640211935,SARS-CoV-2 (Omicron),0.6950556994421696,0.33466575936977283,0.9928262240988782,0.23369934952776364,0.2752145374498374,0.7663006504722364,1.3
0,0.52,0.18565072781343067,SARS-CoV-2 (Omicron),0.6950556994421696,0.3254249517061519,0.9929042054195609,0.24235881245777982,0.2778156397471835,0.7576411875422202,1.3
0,0.53,0.1784360345147452,SARS-CoV-2 (Omicron),0.6950556994421696,0.316117753574889,0.9929844649248973,0.2512802020061132,0.27999442787797196,0.7487197979938869,1.3
0,0.54,0.17148325332787334,SARS-CoV-2 (Omicron),0.6950556994421696,0.3067487658224587,0.9930670739521344,0.2604725749714295,0.2817229718164537,0.7395274250285705,1.3
0,0.55,0.16477828528114657,SARS-CoV-2 (Omicron),0.6950556994421696,0.2973231614476225,0.9931521052263023,0.2699452777751665,0.2829735548691347,0.7300547222248335,1.3
0,0.56,0.15830802866617671,SARS-CoV-2 (Omicron),0.6950556994421696,0.2878467330509243,0.9932396326997203,0.27970794559017853,0.28371898383179944,0.7202920544098215,1.3
0,0.5700000000000001,0.15206029223412737,SARS-CoV-2 (Omicron),0.6950556994421696,0.27832594204055316,0.9933297313516335,0.289770499216971,0.2839329427644312,0.710229500783029,1.3
0,0.58,0.14602371731439107,SARS-CoV-2 (Omicron),0.6950556994421696,0.2687679690410286,0.9934224769414071,0.30014313924039665,0.2835903914723188,0.6998568607596034,1.3
0,0.59,0.1401877078028225,SARS-CoV-2 (Omicron),0.6950556994421696,0.2591807647633618,0.9935179457077669,0.3108363369169412,0.2826680086646203,0.6891636630830589,1.3
0,0.6,0.1345423671063978,SARS-CoV-2 (Omicron),0.6950556994421696,0.24957310037738822,0.9936162140055194,0.32186082114555853,0.28114467831809814,0.6781391788544415,1.3
0,0.61,0.1290784412503576,SARS-CoV-2 (Omicron),0.6950556994421696,0.23995461617899472,0.99371735787002,0.3332275607607868,0.2790020159716787,0.6667724392392131,1.3
0,0.62,0.12378726745585697,SARS-CoV-2 (Omicron),0.6950556994421696,0.2303358670690125,0.9938214524983776,0.3449477412525465,0.27622492949770044,0.6550522587474534,1.3
0,0.63,0.11866072758359641,SARS-CoV-2 (Omicron),0.6950556994421696,0.22072836306101454,0.9939285716350001,0.3570327348589317,0.27280220633867824,0.6429672651410683,1.3
